# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	18556
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=105 d=0.0106531 t=18556
bai gong 	白宮	c=6 d=2.73609e-08 t=18556
bai nian 	百年	c=1 d=0.00132016 t=18556
bai piao dang 	白嫖黨	c=1 d=5.51545e-30 t=18556
ban 	半	c=1 d=2.32394e-09 t=18556
ban 	版	c=1 d=2.65749e-28 t=18556
ban 	辦	c=1 d=1.80485e-35 t=18556
ban ben 	版本	c=26 d=0.00906115 t=18556
ban ben zhong 	版本中	c=1 d=1.93842e-22 t=18556
ban fa 	辦法	c=6 d=2.69709e-07 t=18556
ban jia 	搬家	c=1 d=0.548812 t=18556
ban li 	辦理	c=8 d=7.9068e-32 t=18556
ban quan 	版權	c=2 d=0.0385042 t=18556
ban tian 	半天	c=1 d=0.0116786 t=18556
ban ye 	半夜	c=2 d=2.56699e-32 t=18556
bang 	棒	c=2 d=7.36222e-16 t=18556
bang ding 	綁定	c=1 d=2.02764e-22 t=18556
bang ding ka 	綁定卡	c=1 d=7.59677e-32 t=18556
bang ji le 	棒極了	c=1 d=2.23085e-28 t=18556
bang ni 	幫你	c=1 d=4.68049e-40 t=18556
bang wo 	幫我	c=1 d=3.69649e-28 t=18556
bang zhu 	幫助	c=8 d=0.0309977 t=18556
bao 	包	c=13 d=0.718924 t=18556
bao 	寶	c=0 d=9.83373e-40 t=18556
bao 	抱	c=1 d=5.93067e-31 t=18556
bao 	爆	c=1 d=0.0042963 t=18556
bao bu zhu 	保不住	c=1 d=6.43468e-20 t=18556
bao chao 	爆炒	c=1 d=5.71793e-13 t=18556
bao chi 	保持	c=1 d=8.50378e-06 t=18556
bao cun 	保存	c=10 d=1.33431e-08 t=18556
bao cuo 	報錯	c=4 d=1.30174e-11 t=18556
bao da tui 	包大腿	c=1 d=5.90109e-31 t=18556
bao gao 	報告	c=5 d=0.0225094 t=18556
bao han 	包含	c=11 d=1.91228e-09 t=18556
bao hu 	保護	c=10 d=0.0891518 t=18556
bao jie 	保潔	c=1 d=1.1086e-07 t=18556
bao kuo 	包括	c=1 d=3.5953e-25 t=18556
bao li 	暴力	c=8 d=0.0518009 t=18556
bao nian 	包年	c=1 d=5.17011e-34 t=18556
bao nuan 	保暖	c=1 d=7.97107e-39 t=18556
bao po 	爆破	c=10 d=0.00421191 t=18556
bao qian 	抱歉	c=4 d=3.01672e-33 t=18556
bao ta 	寶塔	c=2 d=1.50919e-19 t=18556
bao wen 	報文	c=7 d=1.45296e-13 t=18556
bao xian 	保險	c=4 d=1.75333e-21 t=18556
bao zhang 	保障	c=3 d=5.17946e-35 t=18556
bao zhang jin 	保障金	c=3 d=5.50265e-35 t=18556
bao zheng 	保證	c=9 d=0.184542 t=18556
bao zheng jin 	保證金	c=11 d=1.6257e-34 t=18556
bao zhi 	報紙	c=2 d=6.74911e-38 t=18556
bei 	北	c=1 d=1.16279e-39 t=18556
bei 	唄	c=10 d=1.90062e-11 t=18556
bei 	背	c=2 d=9.38717e-37 t=18556
bei 	被	c=23 d=0.0584857 t=18556
bei an 	備案	c=3 d=0.000493418 t=18556
bei bao 	背包	c=1 d=1.26268e-38 t=18556
bei fen 	備份	c=3 d=0.107698 t=18556
bei hai dao 	北海道	c=1 d=4.58952e-15 t=18556
bei hou 	背後	c=2 d=0.0424257 t=18556
bei jing 	北京	c=1 d=5.27096e-26 t=18556
bei jing 	背景	c=2 d=1.08123e-07 t=18556
bei shang 	悲傷	c=1 d=7.8947e-14 t=18556
bei yong 	備用	c=1 d=1.90891e-18 t=18556
ben 	本	c=12 d=0.214234 t=18556
ben ci 	本次	c=1 d=4.01895e-12 t=18556
ben di 	本地	c=3 d=0.000149987 t=18556
ben jin 	本金	c=4 d=9.83017e-35 t=18556
ben ke 	本科	c=6 d=4.72618e-27 t=18556
ben lai 	本來	c=3 d=4.5769e-12 t=18556
ben qi 	本期	c=1 d=3.9176e-35 t=18556
ben qun 	本群	c=5 d=8.88158e-05 t=18556
ben shu 	本書	c=4 d=0.232938 t=18556
ben wen 	本文	c=1 d=2.96912e-09 t=18556
ben zhan 	本站	c=11 d=0.868771 t=18556
ben zi 	本子	c=1 d=1.88439e-13 t=18556
beng 	崩	c=2 d=1.25296e-06 t=18556
bi 	比	c=2 d=3.78362e-08 t=18556
bi 	筆	c=2 d=8.34675e-22 t=18556
bi bei 	必備	c=4 d=3.37202e-06 t=18556
bi ci 	彼此	c=1 d=4.42023e-14 t=18556
bi fang 	比方	c=3 d=1.12584e-35 t=18556
bi he 	閉合	c=2 d=1.18966e-06 t=18556
bi hu 	庇護	c=1 d=0.00315111 t=18556
bi ji 	筆記	c=3 d=1.85589e-12 t=18556
bi ji ben 	筆記本	c=1 d=9.21487e-39 t=18556
bi jiao 	比較	c=2 d=1.06437e-28 t=18556
bi mian 	避免	c=2 d=1.16022e-13 t=18556
bi ru 	比如	c=21 d=4.82532e-06 t=18556
bi sai 	比賽	c=1 d=1.15263e-24 t=18556
bi wo 	比我	c=1 d=1.23066e-30 t=18556
bi xu 	必須	c=6 d=1.06789e-08 t=18556
bi xu shuo 	必須說	c=1 d=1.8274e-34 t=18556
bi yao 	必要	c=1 d=1.22369e-22 t=18556
bi ye 	畢業	c=1 d=2.68657e-27 t=18556
bi ye hou 	畢業后	c=1 d=4.52581e-27 t=18556
bi ye zheng 	畢業證	c=1 d=5.48701e-28 t=18556
bi zhi 	壁紙	c=6 d=1.6494e-06 t=18556
bian 	便	c=1 d=1.11431e-38 t=18556
bian 	遍	c=2 d=5.10822e-10 t=18556
bian 	邊	c=1 d=2.68146e-16 t=18556
bian cheng 	編程	c=6 d=0.0330412 t=18556
bian cheng 	變成	c=8 d=6.08722e-14 t=18556
bian hao 	編號	c=1 d=2.35498e-18 t=18556
bian hu 	辯護	c=1 d=8.21243e-37 t=18556
bian hua 	變化	c=2 d=9.85951e-11 t=18556
bian ji 	編輯	c=1 d=2.89621e-40 t=18556
bian ji qi 	編輯器	c=3 d=0.108239 t=18556
bian li 	遍歷	c=1 d=1.9175e-12 t=18556
bian liang 	變量	c=22 d=0.100423 t=18556
bian ma 	編碼	c=3 d=4.6437e-06 t=18556
bian ren 	辨認	c=1 d=3.47707e-14 t=18556
bian tai 	變態	c=2 d=4.69276e-12 t=18556
bian xie 	編寫	c=4 d=0.00017956 t=18556
bian yi 	編譯	c=4 d=9.10275e-25 t=18556
biao 	標	c=1 d=1.62164e-11 t=18556
biao 	表	c=3 d=0.00559027 t=18556
biao bai 	表白	c=1 d=0.00412784 t=18556
biao da 	表達	c=1 d=1.02846e-36 t=18556
biao da shi 	表達式	c=1 d=6.41261e-09 t=18556
biao dan 	表單	c=2 d=3.23198e-07 t=18556
biao ge 	表格	c=1 d=1.93171e-40 t=18556
biao ji 	標記	c=1 d=9.87966e-35 t=18556
biao ju 	鏢局	c=1 d=1.14809e-07 t=18556
biao mei 	表妹	c=1 d=2.52874e-32 t=18556
biao qian 	標籤	c=1 d=3.36904e-25 t=18556
biao shi 	表示	c=7 d=0.00107227 t=18556
biao ti 	標題	c=10 d=0.000391838 t=18556
biao tou 	標頭	c=1 d=1.42003e-08 t=18556
biao yan 	表演	c=1 d=9.05916e-15 t=18556
bie 	別	c=6 d=4.78675e-10 t=18556
bie mai 	別買	c=1 d=7.06369e-29 t=18556
bie qu 	別去	c=1 d=0.00146632 t=18556
bie ren 	別人	c=7 d=6.75769e-08 t=18556
bie shuo 	別說	c=1 d=8.05007e-08 t=18556
bie tai kuai 	別太快	c=1 d=4.37313e-35 t=18556
bie wen 	別問	c=0 d=8.51102e-17 t=18556
bie wen wo 	別問我	c=1 d=8.55368e-16 t=18556
bing 	兵	c=3 d=2.39768e-07 t=18556
bing du 	病毒	c=21 d=9.86012e-05 t=18556
bing leng 	冰冷	c=1 d=0.554327 t=18556
bing mei you 	並沒有	c=1 d=3.74139e-23 t=18556
bing qie 	並且	c=11 d=0.00565622 t=18556
bo 	博	c=1 d=1.77677e-27 t=18556
bo 	波	c=1 d=3.72729e-08 t=18556
bo fang 	播放	c=1 d=4.74896e-05 t=18556
bo fang qi 	播放器	c=1 d=3.11753e-24 t=18556
bo ke 	博客	c=4 d=3.11276e-06 t=18556
bu 	不	c=39 d=0.446271 t=18556
bu 	部	c=1 d=7.05145e-38 t=18556
bu an quan 	不安全	c=2 d=1.16015e-16 t=18556
bu bei 	不被	c=1 d=2.22093e-05 t=18556
bu cha 	不差	c=1 d=1.86628e-17 t=18556
bu chong 	補充	c=4 d=8.35349e-06 t=18556
bu cun 	不存	c=1 d=1.70385e-34 t=18556
bu cun zai 	不存在	c=1 d=4.05438e-27 t=18556
bu cuo 	不錯	c=21 d=0.782924 t=18556
bu cuo a 	不錯啊	c=1 d=4.85645e-33 t=18556
bu da 	不大	c=2 d=2.19084e-21 t=18556
bu da suan 	不打算	c=2 d=7.74819e-25 t=18556
bu dao 	不到	c=1 d=1.83281e-11 t=18556
bu dao qian 	不到錢	c=1 d=1.842e-10 t=18556
bu de 	不得	c=1 d=1.92809e-18 t=18556
bu deng yu 	不等於	c=1 d=8.62908e-31 t=18556
bu ding 	補丁	c=2 d=0.0134114 t=18556
bu dong 	不動	c=1 d=1.08362e-33 t=18556
bu dong 	不懂	c=2 d=3.34415e-26 t=18556
bu dui 	不對	c=3 d=4.1598e-22 t=18556
bu fa 	步伐	c=1 d=4.35442e-14 t=18556
bu fang bian 	不方便	c=1 d=8.78665e-38 t=18556
bu fu he 	不符合	c=1 d=8.05118e-39 t=18556
bu gan 	不敢	c=1 d=2.91479e-27 t=18556
bu gan zuo 	不敢做	c=1 d=4.13417e-21 t=18556
bu gao 	不高	c=1 d=1.01456e-23 t=18556
bu gou 	不夠	c=4 d=8.43663e-30 t=18556
bu guo 	不過	c=9 d=0.000187825 t=18556
bu hao 	不好	c=6 d=0.00312687 t=18556
bu hao gao 	不好搞	c=1 d=7.72891e-29 t=18556
bu hao wan 	不好玩	c=1 d=9.11077e-23 t=18556
bu hao yi si 	不好意思	c=1 d=3.58297e-14 t=18556
bu hao yong 	不好用	c=3 d=2.39553e-13 t=18556
bu hao zuo 	不好做	c=1 d=7.08461e-05 t=18556
bu hui 	不會	c=20 d=4.27199e-10 t=18556
bu ji 	不急	c=2 d=2.52745e-26 t=18556
bu ji ji 	不積極	c=1 d=4.06487e-28 t=18556
bu jian de 	不見得	c=1 d=1.1562e-31 t=18556
bu jian yi 	不建議	c=4 d=5.24654e-15 t=18556
bu jie yi 	不介意	c=1 d=1.55482e-16 t=18556
bu jin 	不僅	c=1 d=3.27225e-35 t=18556
bu jing qi 	不景氣	c=1 d=6.4137e-11 t=18556
bu jiu 	不久	c=0 d=5.85949e-37 t=18556
bu jiu 	不就	c=1 d=1.31514e-17 t=18556
bu jiu hou 	不久後	c=2 d=5.23244e-35 t=18556
bu kai 	不開	c=1 d=2.00399e-31 t=18556
bu ke 	不可	c=1 d=9.04346e-24 t=18556
bu ke yi 	不可以	c=1 d=0.00319873 t=18556
bu lai 	不來	c=1 d=8.33681e-08 t=18556
bu li jie 	不理解	c=1 d=1.31694e-33 t=18556
bu li mao 	不禮貌	c=1 d=7.83504e-13 t=18556
bu mai 	不買	c=1 d=6.28008e-28 t=18556
bu nan 	不難	c=4 d=8.16553e-22 t=18556
bu neng 	不能	c=20 d=1.001e-06 t=18556
bu qi 	不起	c=1 d=1.76761e-26 t=18556
bu qing chu 	不清楚	c=3 d=2.52444e-12 t=18556
bu qu 	不去	c=3 d=2.31321e-13 t=18556
bu que ding 	不確定	c=1 d=8.27241e-05 t=18556
bu ran 	不然	c=2 d=3.21193e-22 t=18556
bu rang 	不讓	c=1 d=5.13382e-10 t=18556
bu ren shi 	不認識	c=2 d=1.17759e-34 t=18556
bu ru 	不如	c=1 d=1.67763e-28 t=18556
bu shan chang 	不擅長	c=1 d=6.23813e-08 t=18556
bu shang 	不上	c=1 d=2.62649e-37 t=18556
bu sheng xiao 	不生效	c=1 d=4.28886e-12 t=18556
bu shi 	不是	c=33 d=0.815003 t=18556
bu shi he 	不適合	c=1 d=1.9579e-22 t=18556
bu shu 	部署	c=2 d=2.89358e-24 t=18556
bu shu xi 	不熟悉	c=1 d=1.24947e-32 t=18556
bu tai 	不太	c=7 d=0.510964 t=18556
bu tai dong 	不太懂	c=1 d=5.35244e-30 t=18556
bu tai dui 	不太對	c=1 d=1.9885e-28 t=18556
bu tai gao 	不太高	c=1 d=1.64581e-38 t=18556
bu tai qing chu 	不太清楚	c=1 d=5.32484e-28 t=18556
bu tai quan mian 	不太全面	c=1 d=7.85131e-08 t=18556
bu tong 	不同	c=7 d=1.64984e-08 t=18556
bu tui jian 	不推薦	c=1 d=6.39258e-31 t=18556
bu wan 	不玩	c=1 d=8.05692e-18 t=18556
bu wan zheng 	不完整	c=1 d=3.09608e-31 t=18556
bu wen ding 	不穩定	c=1 d=1.70977e-16 t=18556
bu xi huan 	不喜歡	c=3 d=2.31196e-07 t=18556
bu xiang 	不想	c=2 d=1.01144e-16 t=18556
bu xiang qu 	不想去	c=2 d=1.29424e-05 t=18556
bu xing 	不行	c=18 d=0.752014 t=18556
bu xu yao 	不需要	c=4 d=4.02988e-11 t=18556
bu yao 	不要	c=14 d=0.00563912 t=18556
bu yao qian 	不要錢	c=1 d=7.1274e-17 t=18556
bu yao zai 	不要在	c=1 d=2.73414e-39 t=18556
bu yi 	不一	c=1 d=1.71718e-08 t=18556
bu yi ding 	不一定	c=4 d=4.90013e-17 t=18556
bu yi yang 	不一樣	c=1 d=3.46327e-26 t=18556
bu yi zhi 	不一致	c=1 d=3.21084e-18 t=18556
bu ying gai 	不應該	c=1 d=1.90268e-09 t=18556
bu yong 	不用	c=16 d=8.3583e-07 t=18556
bu yong guan 	不用管	c=1 d=5.60071e-34 t=18556
bu yuan chu 	不遠處	c=1 d=2.88981e-14 t=18556
bu za yong 	不咋用	c=2 d=0.771052 t=18556
bu zai 	不再	c=1 d=2.59999e-35 t=18556
bu zai 	不在	c=5 d=9.09837e-07 t=18556
bu zai xian 	不在線	c=1 d=1.08739e-15 t=18556
bu zai yu duo 	不再愈多	c=1 d=8.76546e-39 t=18556
bu zhao ji 	不着急	c=1 d=3.97207e-21 t=18556
bu zhi chi 	不支持	c=1 d=0.167797 t=18556
bu zhi dao 	不知道	c=12 d=3.36229e-10 t=18556
bu zhi er yu 	不治而愈	c=1 d=1.87819e-33 t=18556
bu zhi xing 	不執行	c=1 d=7.93292e-12 t=18556
bu zhi yi ti 	不值一提	c=1 d=0.000205513 t=18556
bu zhong yao 	不重要	c=2 d=1.7655e-11 t=18556
bu zhou 	步驟	c=3 d=0.0163259 t=18556
bu zhua 	不抓	c=1 d=8.50206e-33 t=18556
bu zu 	不足	c=1 d=3.6718e-08 t=18556
bu zuan qian 	不鑽錢	c=1 d=1.64357e-22 t=18556
bu zuo 	不做	c=3 d=6.84792e-05 t=18556
ca 	擦	c=1 d=7.92187e-25 t=18556
cai 	才	c=8 d=1.09586e-13 t=18556
cai 	猜	c=1 d=3.33437e-29 t=18556
cai 	菜	c=2 d=0.0317456 t=18556
cai chan 	財產	c=1 d=3.24918e-40 t=18556
cai dan 	菜單	c=1 d=3.14405e-06 t=18556
cai dao 	菜刀	c=2 d=2.47319e-06 t=18556
cai ji 	採集	c=2 d=1.41759e-38 t=18556
cai ke yi 	纔可以	c=1 d=9.17389e-16 t=18556
cai liao 	材料	c=2 d=4.79995e-13 t=18556
cai wu 	財務	c=1 d=7.98762e-34 t=18556
cai zhi dao 	才知道	c=2 d=0.0117371 t=18556
can jia 	參加	c=5 d=1.41583e-21 t=18556
can kao 	參考	c=3 d=0.0141368 t=18556
can shu 	參數	c=9 d=0.00337689 t=18556
can yi yuan 	參議院	c=1 d=0.0105672 t=18556
can zhao 	參照	c=4 d=5.69039e-19 t=18556
cang 	藏	c=1 d=1.6535e-34 t=18556
cang hai 	滄海	c=4 d=7.96636e-26 t=18556
cang ku 	倉庫	c=2 d=7.96158e-25 t=18556
cao chang shang 	操場上	c=1 d=1.29799e-39 t=18556
cao zuo 	操作	c=14 d=0.0359012 t=18556
ce 	測	c=2 d=4.95725e-10 t=18556
ce lve 	策略	c=1 d=0.000143382 t=18556
ce shi 	測試	c=69 d=1.39337 t=18556
ceng jing 	曾經	c=3 d=3.05476e-20 t=18556
cha 	差	c=1 d=3.80258e-08 t=18556
cha 	插	c=2 d=1.524e-33 t=18556
cha 	查	c=2 d=4.87762e-19 t=18556
cha 	茶	c=1 d=2.60354e-22 t=18556
cha bu duo 	差不多	c=2 d=5.0985e-17 t=18556
cha cha 	查查	c=2 d=0.00878245 t=18556
cha dao 	查到	c=1 d=1.0712e-15 t=18556
cha de 	查的	c=0 d=2.09665e-05 t=18556
cha de dao 	查的到	c=1 d=0.000210716 t=18556
cha jia 	差價	c=1 d=3.60767e-36 t=18556
cha jian 	插件	c=11 d=7.43947e-06 t=18556
cha kan 	查看	c=17 d=0.0218879 t=18556
cha ru 	插入	c=11 d=0.0719488 t=18556
cha tou 	插頭	c=1 d=9.68733e-39 t=18556
cha xun 	查詢	c=10 d=0.000966026 t=18556
cha zhao 	查找	c=2 d=0.000614341 t=18556
chai 	柴	c=1 d=2.44343e-40 t=18556
chan pin 	產品	c=3 d=9.12192e-08 t=18556
chan sheng 	產生	c=2 d=4.6325e-07 t=18556
chang 	常	c=1 d=2.39717e-21 t=18556
chang 	長	c=1 d=1.41656e-38 t=18556
chang de 	常德	c=1 d=1.95857e-26 t=18556
chang du 	長度	c=4 d=0.00223374 t=18556
chang fa 	長髮	c=2 d=3.66014e-29 t=18556
chang jian 	常見	c=8 d=0.229261 t=18556
chang jian yu 	常見於	c=1 d=9.86286e-15 t=18556
chang jing 	場景	c=2 d=0.0166557 t=18556
chang ku 	長褲	c=1 d=8.89793e-39 t=18556
chang kuan 	長寬	c=0 d=1.34748e-39 t=18556
chang kuan gao 	長寬高	c=1 d=1.35423e-38 t=18556
chang nian 	常年	c=1 d=1.08196e-15 t=18556
chang qi 	長期	c=2 d=1.25144e-15 t=18556
chang shi 	嘗試	c=11 d=0.822835 t=18556
chang shi 	常識	c=1 d=8.21103e-35 t=18556
chang xian 	長線	c=1 d=2.18326e-39 t=18556
chang yong 	常用	c=12 d=0.017953 t=18556
chao 	抄	c=2 d=1.48232e-13 t=18556
chao gu 	炒股	c=4 d=3.92007e-12 t=18556
chao guo 	超過	c=5 d=4.62132e-08 t=18556
chao ji 	超級	c=4 d=7.89201e-10 t=18556
chao jia 	吵架	c=1 d=1.10916e-13 t=18556
chao nao 	吵鬧	c=1 d=2.57983e-32 t=18556
che 	車	c=1 d=2.06109e-38 t=18556
che chen 	車臣	c=1 d=7.49156e-15 t=18556
che dui 	車隊	c=1 d=2.3215e-26 t=18556
che zhan 	車站	c=1 d=1.18628e-39 t=18556
cheng 	乘	c=1 d=4.14981e-36 t=18556
cheng 	成	c=4 d=1.00352e-15 t=18556
cheng ben 	成本	c=2 d=5.8164e-08 t=18556
cheng bu zhu 	撐不住	c=1 d=4.0754e-29 t=18556
cheng gong 	成功	c=22 d=0.75529 t=18556
cheng hao 	稱號	c=1 d=9.67909e-29 t=18556
cheng ji dan 	成績單	c=1 d=1.89346e-40 t=18556
cheng jiu 	成就	c=2 d=0.00539794 t=18556
cheng shi 	城市	c=1 d=2.6125e-33 t=18556
cheng shi ma 	程式碼	c=2 d=9.29634e-17 t=18556
cheng wu yuan 	乘務員	c=1 d=9.63245e-31 t=18556
cheng xu 	程序	c=41 d=0.000947768 t=18556
cheng xu zhong 	程序中	c=1 d=8.94434e-12 t=18556
cheng yuan 	成員	c=1 d=8.0181e-20 t=18556
cheng zuo 	稱做	c=2 d=1.07674e-35 t=18556
chi 	吃	c=4 d=2.14256e-06 t=18556
chi fan 	吃飯	c=1 d=3.36388e-07 t=18556
chi jiu 	持久	c=1 d=1.23217e-15 t=18556
chi wan 	吃完	c=3 d=0.00318278 t=18556
chi wan can 	吃晚餐	c=1 d=1.00796e-05 t=18556
chi xu 	持續	c=5 d=0.000709056 t=18556
chi you 	持有	c=3 d=2.93695e-21 t=18556
chi zao can 	吃早餐	c=1 d=9.87998e-06 t=18556
chi zhong can 	吃中餐	c=1 d=9.97928e-06 t=18556
chong 	重	c=2 d=1.46099e-19 t=18556
chong dian 	充電	c=0 d=9.83373e-40 t=18556
chong dian bao 	充電寶	c=1 d=9.88302e-39 t=18556
chong dian qi 	充電器	c=1 d=9.30748e-39 t=18556
chong ding xiang 	重定向	c=1 d=1.46832e-19 t=18556
chong fu 	重複	c=3 d=1.04386e-05 t=18556
chong tu 	衝突	c=3 d=2.023e-33 t=18556
chong xin 	重新	c=2 d=1.95823e-24 t=18556
chong zhi 	充值	c=1 d=2.88932e-12 t=18556
chong zhi 	重置	c=3 d=2.60442e-17 t=18556
chong zhuang 	重裝	c=1 d=5.944e-28 t=18556
chou wen 	醜聞	c=1 d=7.2662e-38 t=18556
chu 	出	c=11 d=0.00489412 t=18556
chu 	除	c=4 d=1.03685e-14 t=18556
chu bu qi 	出不起	c=1 d=9.02626e-31 t=18556
chu cuo 	出錯	c=1 d=0.0238732 t=18556
chu fa 	出發	c=1 d=3.50415e-17 t=18556
chu fa 	觸發	c=6 d=4.62211e-10 t=18556
chu fei 	除非	c=3 d=4.64528e-10 t=18556
chu guo 	出國	c=2 d=1.53068e-30 t=18556
chu lai 	出來	c=7 d=1.24371e-07 t=18556
chu le 	除了	c=6 d=3.07395e-05 t=18556
chu li 	處理	c=8 d=1.47392e-05 t=18556
chu men 	出門	c=1 d=9.01244e-13 t=18556
chu qu 	出去	c=3 d=1.74431e-16 t=18556
chu sheng di 	出生地	c=1 d=2.08038e-30 t=18556
chu shi 	初始	c=1 d=2.34244e-14 t=18556
chu shi hua 	初始化	c=2 d=3.81243e-09 t=18556
chu shou 	出售	c=1 d=0.180866 t=18556
chu wai 	除外	c=2 d=1.91157e-05 t=18556
chu wen ti 	出問題	c=3 d=2.60672e-11 t=18556
chu xian 	出現	c=12 d=0.627322 t=18556
chu xing 	出行	c=1 d=1.21317e-38 t=18556
chu xu 	儲蓄	c=2 d=1.04674e-11 t=18556
chu xue zhe 	初學者	c=1 d=8.37263e-29 t=18556
chu yu 	處於	c=7 d=0.265803 t=18556
chuan 	傳	c=3 d=8.71412e-29 t=18556
chuan 	穿	c=1 d=6.31048e-26 t=18556
chuan pu 	川普	c=1 d=2.80297e-08 t=18556
chuan shu 	傳輸	c=3 d=4.23666e-15 t=18556
chuan shu ceng 	傳輸層	c=1 d=7.62446e-16 t=18556
chuan song 	傳送	c=1 d=2.8596e-08 t=18556
chuan tong 	傳統	c=1 d=3.01913e-29 t=18556
chuang jian 	創建	c=6 d=5.20964e-06 t=18556
chuang kou 	窗口	c=1 d=1.04258e-20 t=18556
chuang shang 	牀上	c=1 d=1.33085e-39 t=18556
chuang ye 	創業	c=1 d=7.56041e-05 t=18556
chuang zuo 	創作	c=1 d=0.0220377 t=18556
chui bi 	吹逼	c=1 d=3.67868e-30 t=18556
chun feng 	春風	c=1 d=1.26793e-28 t=18556
chun qiu 	春秋	c=1 d=8.67676e-37 t=18556
ci 	次	c=4 d=1.96575e-17 t=18556
ci 	此	c=18 d=0.261877 t=18556
ci chang 	磁場	c=2 d=6.71568e-10 t=18556
ci die 	磁碟	c=1 d=0.00647375 t=18556
ci ji xing 	刺激性	c=2 d=1.12208e-12 t=18556
ci ku 	詞庫	c=1 d=6.96564e-41 t=18556
ci pan 	磁盤	c=1 d=1.36858e-15 t=18556
ci ren 	此人	c=1 d=2.77792e-20 t=18556
ci shi 	此時	c=15 d=0.00599295 t=18556
ci shu 	次數	c=1 d=0.529935 t=18556
ci wei 	詞尾	c=1 d=1.14887e-15 t=18556
ci yu 	詞語	c=1 d=4.76191e-37 t=18556
cong 	從	c=15 d=0.423163 t=18556
cong er 	從而	c=1 d=2.84427e-33 t=18556
cong lai 	從來	c=2 d=6.79125e-25 t=18556
cong shi 	從事	c=2 d=7.20271e-23 t=18556
cun 	存	c=1 d=5.35062e-26 t=18556
cun chu 	存儲	c=3 d=4.31231e-05 t=18556
cun dang 	存檔	c=1 d=0.00396599 t=18556
cun fang 	存放	c=0 d=4.74154e-17 t=18556
cun fang yu 	存放於	c=1 d=4.7653e-16 t=18556
cun zai 	存在	c=16 d=0.0516219 t=18556
cuo 	錯	c=4 d=0.697676 t=18556
cuo wu 	錯誤	c=16 d=0.13618 t=18556
da 	大	c=10 d=0.00272578 t=18556
da 	打	c=8 d=2.11425e-13 t=18556
da an 	答案	c=2 d=9.22458e-22 t=18556
da ba shou 	搭把手	c=1 d=0.00326335 t=18556
da bao 	打包	c=1 d=4.28799e-39 t=18556
da bu dao 	達不到	c=1 d=0.00218749 t=18556
da bu fen 	大部分	c=1 d=2.00541e-10 t=18556
da bu kai 	打不開	c=1 d=7.42585e-29 t=18556
da cuo 	打錯	c=1 d=3.05997e-40 t=18556
da dao 	達到	c=3 d=2.42152e-11 t=18556
da dian hua 	打電話	c=2 d=1.04783e-10 t=18556
da duo shu 	大多數	c=1 d=3.50892e-33 t=18556
da ge 	打個	c=3 d=1.12023e-35 t=18556
