# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	18540
#@/user_id	6b7ea6f5-52f9-45c1-9d3f-d367721ba4bb
a 	啊	c=105 d=0.0106531 t=18540
chang nian 	常年	c=1 d=1.08196e-15 t=18540
chang qi 	長期	c=2 d=1.25144e-15 t=18540
chang shi 	嘗試	c=11 d=0.822835 t=18540
chang shi 	常識	c=1 d=8.21103e-35 t=18540
chang xian 	長線	c=1 d=2.18326e-39 t=18540
chang yong 	常用	c=12 d=0.017953 t=18540
chao 	抄	c=2 d=1.48232e-13 t=18540
chao gu 	炒股	c=4 d=3.92007e-12 t=18540
chao guo 	超過	c=5 d=4.62132e-08 t=18540
chao ji 	超級	c=4 d=7.89201e-10 t=18540
chao jia 	吵架	c=1 d=1.10916e-13 t=18540
chao nao 	吵鬧	c=1 d=2.57983e-32 t=18540
che 	車	c=1 d=2.06109e-38 t=18540
che chen 	車臣	c=1 d=7.49156e-15 t=18540
che dui 	車隊	c=1 d=2.3215e-26 t=18540
che zhan 	車站	c=1 d=1.18628e-39 t=18540
cheng 	乘	c=1 d=4.14981e-36 t=18540
cheng 	成	c=4 d=1.00352e-15 t=18540
cheng ben 	成本	c=2 d=5.8164e-08 t=18540
cheng bu zhu 	撐不住	c=1 d=4.0754e-29 t=18540
cheng gong 	成功	c=22 d=0.75529 t=18540
cheng hao 	稱號	c=1 d=9.67909e-29 t=18540
cheng ji dan 	成績單	c=1 d=1.89346e-40 t=18540
cheng jiu 	成就	c=2 d=0.00539794 t=18540
cheng shi 	城市	c=1 d=2.6125e-33 t=18540
cheng shi ma 	程式碼	c=2 d=9.29634e-17 t=18540
cheng wu yuan 	乘務員	c=1 d=9.63245e-31 t=18540
cheng xu 	程序	c=41 d=0.000947768 t=18540
cheng xu zhong 	程序中	c=1 d=8.94434e-12 t=18540
cheng yuan 	成員	c=1 d=8.0181e-20 t=18540
cheng zuo 	稱做	c=2 d=1.07674e-35 t=18540
chi 	吃	c=4 d=2.14256e-06 t=18540
chi fan 	吃飯	c=1 d=3.36388e-07 t=18540
chi jiu 	持久	c=1 d=1.23217e-15 t=18540
chi wan 	吃完	c=3 d=0.00318278 t=18540
chi wan can 	吃晚餐	c=1 d=1.00796e-05 t=18540
chi xu 	持續	c=5 d=0.000709056 t=18540
chi you 	持有	c=3 d=2.93695e-21 t=18540
chi zao can 	吃早餐	c=1 d=9.87998e-06 t=18540
chi zhong can 	吃中餐	c=1 d=9.97928e-06 t=18540
chong 	重	c=2 d=1.46099e-19 t=18540
chong dian 	充電	c=0 d=9.83373e-40 t=18540
chong dian bao 	充電寶	c=1 d=9.88302e-39 t=18540
chong dian qi 	充電器	c=1 d=9.30748e-39 t=18540
chong ding xiang 	重定向	c=1 d=1.46832e-19 t=18540
chong fu 	重複	c=3 d=1.04386e-05 t=18540
chong tu 	衝突	c=3 d=2.023e-33 t=18540
chong xin 	重新	c=2 d=1.95823e-24 t=18540
chong zhi 	充值	c=1 d=2.88932e-12 t=18540
chong zhi 	重置	c=3 d=2.60442e-17 t=18540
chong zhuang 	重裝	c=1 d=5.944e-28 t=18540
chou wen 	醜聞	c=1 d=7.2662e-38 t=18540
chu 	出	c=11 d=0.00489412 t=18540
chu 	除	c=4 d=1.03685e-14 t=18540
chu bu qi 	出不起	c=1 d=9.02626e-31 t=18540
chu cuo 	出錯	c=1 d=0.0238732 t=18540
chu fa 	出發	c=1 d=3.50415e-17 t=18540
chu fa 	觸發	c=6 d=4.62211e-10 t=18540
chu fei 	除非	c=3 d=4.64528e-10 t=18540
chu guo 	出國	c=2 d=1.53068e-30 t=18540
chu lai 	出來	c=7 d=1.24371e-07 t=18540
chu le 	除了	c=6 d=3.07395e-05 t=18540
chu li 	處理	c=8 d=1.47392e-05 t=18540
chu men 	出門	c=1 d=9.01244e-13 t=18540
chu qu 	出去	c=3 d=1.74431e-16 t=18540
chu sheng di 	出生地	c=1 d=2.08038e-30 t=18540
chu shi 	初始	c=1 d=2.34244e-14 t=18540
chu shi hua 	初始化	c=2 d=3.81243e-09 t=18540
chu shou 	出售	c=1 d=0.180866 t=18540
chu wai 	除外	c=2 d=1.91157e-05 t=18540
chu wen ti 	出問題	c=3 d=2.60672e-11 t=18540
chu xian 	出現	c=12 d=0.627322 t=18540
chu xing 	出行	c=1 d=1.21317e-38 t=18540
chu xu 	儲蓄	c=2 d=1.04674e-11 t=18540
chu xue zhe 	初學者	c=1 d=8.37263e-29 t=18540
chu yu 	處於	c=7 d=0.265803 t=18540
chuan 	傳	c=3 d=8.71412e-29 t=18540
chuan 	穿	c=1 d=6.31048e-26 t=18540
chuan pu 	川普	c=1 d=2.80297e-08 t=18540
chuan shu 	傳輸	c=3 d=4.23666e-15 t=18540
chuan shu ceng 	傳輸層	c=1 d=7.62446e-16 t=18540
chuan song 	傳送	c=1 d=2.8596e-08 t=18540
chuan tong 	傳統	c=1 d=3.01913e-29 t=18540
chuang jian 	創建	c=6 d=5.20964e-06 t=18540
chuang kou 	窗口	c=1 d=1.04258e-20 t=18540
chuang shang 	牀上	c=1 d=1.33085e-39 t=18540
chuang ye 	創業	c=1 d=7.56041e-05 t=18540
chuang zuo 	創作	c=1 d=0.0220377 t=18540
chui bi 	吹逼	c=1 d=3.67868e-30 t=18540
chun feng 	春風	c=1 d=1.26793e-28 t=18540
chun qiu 	春秋	c=1 d=8.67676e-37 t=18540
ci 	次	c=4 d=1.96575e-17 t=18540
ci 	此	c=18 d=0.261877 t=18540
ci chang 	磁場	c=2 d=6.71568e-10 t=18540
ci die 	磁碟	c=1 d=0.00647375 t=18540
ci ji xing 	刺激性	c=2 d=1.12208e-12 t=18540
ci ku 	詞庫	c=1 d=6.96564e-41 t=18540
ci pan 	磁盤	c=1 d=1.36858e-15 t=18540
ci ren 	此人	c=1 d=2.77792e-20 t=18540
ci shi 	此時	c=15 d=0.00599295 t=18540
ci shu 	次數	c=1 d=0.529935 t=18540
ci wei 	詞尾	c=1 d=1.14887e-15 t=18540
ci yu 	詞語	c=1 d=4.76191e-37 t=18540
cong 	從	c=15 d=0.423163 t=18540
cong er 	從而	c=1 d=2.84427e-33 t=18540
cong lai 	從來	c=2 d=6.79125e-25 t=18540
cong shi 	從事	c=2 d=7.20271e-23 t=18540
cun 	存	c=1 d=5.35062e-26 t=18540
cun chu 	存儲	c=3 d=4.31231e-05 t=18540
cun dang 	存檔	c=1 d=0.00396599 t=18540
cun fang 	存放	c=0 d=4.74154e-17 t=18540
cun fang yu 	存放於	c=1 d=4.7653e-16 t=18540
cun zai 	存在	c=16 d=0.0516219 t=18540
cuo 	錯	c=4 d=0.697676 t=18540
cuo wu 	錯誤	c=16 d=0.13618 t=18540
da 	大	c=10 d=0.00272578 t=18540
da 	打	c=8 d=2.11425e-13 t=18540
da an 	答案	c=2 d=9.22458e-22 t=18540
da ba shou 	搭把手	c=1 d=0.00326335 t=18540
da bao 	打包	c=1 d=4.28799e-39 t=18540
da bu dao 	達不到	c=1 d=0.00218749 t=18540
da bu fen 	大部分	c=1 d=2.00541e-10 t=18540
da bu kai 	打不開	c=1 d=7.42585e-29 t=18540
da cuo 	打錯	c=1 d=3.05997e-40 t=18540
da dao 	達到	c=3 d=2.42152e-11 t=18540
da dian hua 	打電話	c=2 d=1.04783e-10 t=18540
da duo shu 	大多數	c=1 d=3.50892e-33 t=18540
da ge 	打個	c=3 d=1.12023e-35 t=18540
